"Линия","Код станции[1]","Название станции
Прежние названия","Дата
открытия","Пере-
садки","Глубина,
м[2]","Тип конструкции","Координаты","Вид станции"
"","209","«Петровско-Разумовская»","16 сентября 2016","","−61","колонная
глубокого заложения
трёхсводчатая

колонно-стеновая
глубокого заложения
трёхсводчатая","55°50′06″ с. ш. 37°34′28″ в. д.HЯ",""
"","208","«Фонвизинская»","16 сентября 2016","","−65","пилонная
глубокого заложения
трёхсводчатая","55°49′22″ с. ш. 37°35′17″ в. д.HЯ",""
"","207","«Бутырская»","16 сентября 2016","","−60","пилонная
глубокого заложения
трёхсводчатая","55°48′48″ с. ш. 37°36′10″ в. д.HЯ",""
"","162","«Марьина Роща»","19 июня 2010","","−60","пилонная
глубокого заложения
трёхсводчатая","55°47′43″ с. ш. 37°36′58″ в. д.HЯ",""
"","163","«Достоевская»","19 июня 2010","","−60","колонно-стеновая
глубокого заложения
трёхсводчатая","55°46′54″ с. ш. 37°36′54″ в. д.HЯ",""
"","164","«Трубная»","30 августа 2007","","−60","колонно-стеновая
глубокого заложения
трёхсводчатая","55°46′08″ с. ш. 37°37′12″ в. д.HЯ",""
"","165","«Сретенский бульвар»","29 декабря 2007","","−60","пилонная
глубокого заложения
трёхсводчатая","55°46′00″ с. ш. 37°38′21″ в. д.HЯ",""
"","166","«Чкаловская»","28 декабря 1995","","−51","пилонная
глубокого заложения
трёхсводчатая","55°45′23″ с. ш. 37°39′26″ в. д.HЯ",""
"","167","«Римская»","28 декабря 1995","","−54","колонная
глубокого заложения
трёхсводчатая","55°44′47″ с. ш. 37°40′55″ в. д.HЯ",""
"","168","«Крестьянская Застава»","28 декабря 1995","","−47","колонно-стеновая
глубокого заложения
трёхсводчатая","55°43′59″ с. ш. 37°40′02″ в. д.HЯ",""
"","169","«Дубровка»","11 декабря 1999","","−62","колонно-стеновая
глубокого заложения
трёхсводчатая","55°43′07″ с. ш. 37°40′34″ в. д.HЯ",""
"","170","«Кожуховская»","28 декабря 1995","","−12","односводчатая
мелкого заложения","55°42′27″ с. ш. 37°41′06″ в. д.HЯ",""
"","171","«Печатники»","28 декабря 1995","","−5","колонная
мелкого заложения
трёхпролётная","55°41′36″ с. ш. 37°43′37″ в. д.HЯ",""
"","162","«Волжская»","28 декабря 1995","","−8","однопролётная
мелкого заложения","55°41′27″ с. ш. 37°45′11″ в. д.HЯ",""
"","173","«Люблино»","25 декабря 1996","","−8","односводчатая
мелкого заложения","55°40′33″ с. ш. 37°45′42″ в. д.HЯ",""
"","174","«Братиславская»","25 декабря 1996","","−8","колонная
мелкого заложения
двухпролётная","55°39′35″ с. ш. 37°45′02″ в. д.HЯ",""
"","175","«Марьино»","25 декабря 1996","","−8","однопролётная
мелкого заложения","55°39′00″ с. ш. 37°44′35″ в. д.HЯ",""
"","176","«Борисово»","2 декабря 2011","","−10","односводчатая
мелкого заложения","55°38′00″ с. ш. 37°44′37″ в. д.HЯ",""
"","177","«Шипиловская»","2 декабря 2011","","−10","односводчатая
мелкого заложения","55°37′16″ с. ш. 37°44′37″ в. д.HЯ",""
"","178","«Зябликово»","2 декабря 2011","","−15","односводчатая
мелкого заложения","55°36′45″ с. ш. 37°44′43″ в. д.HЯ",""
"","307","«Савёловская»","30 декабря 2018","","−65","пилонная
глубокого заложения
трёхсводчатая","55°47′36″ с. ш. 37°35′13″ в. д.HЯ",""
"","298","«Петровский парк»","26 февраля 2018","","−25","колонная
мелкого заложения
трёхпролётная","55°47′31″ с. ш. 37°33′26″ в. д.HЯ",""
"","299","«ЦСКА»","26 февраля 2018","","−28","колонная
мелкого заложения
трёхпролётная","55°47′12″ с. ш. 37°32′00″ в. д.HЯ",""
"","238","«Хорошёвская»","26 февраля 2018","","−21","колонная
мелкого заложения
трёхпролётная","55°46′36″ с. ш. 37°31′09″ в. д.HЯ",""
"","316","«Народное Ополчение»","1 апреля 2021","","−28","колонная
мелкого заложения
трёхпролётная","55°46′33″ с. ш. 37°29′06″ в. д.HЯ",""
"","242","«Мнёвники»","1 апреля 2021","","−27","колонная
мелкого заложения
трёхпролётная","55°45′40″ с. ш. 37°28′17″ в. д.HЯ",""
"","243","«Терехово»","7 декабря 2021","","−22","колонная
мелкого заложения
трёхпролётная
с береговыми платформами","55°44′53″ с. ш. 37°27′35″ в. д.HЯ",""
"","244","«Кунцевская»","7 декабря 2021","","−31,2","колонная
мелкого заложения
трёхпролётная
с береговыми платформами","55°43′44″ с. ш. 37°26′46″ в. д.HЯ",""
"","318","«Давыдково»","7 декабря 2021","","−33","колонная
мелкого заложения
двухпролётная
с береговыми платформами","55°42′55″ с. ш. 37°27′06″ в. д.HЯ",""
"","324","«Аминьевская»","7 декабря 2021","","−14","колонная
мелкого заложения
трёхпролётная","55°41′50″ с. ш. 37°27′54″ в. д.HЯ",""
"","246","«Мичуринский проспект»","7 декабря 2021","","−19","колонная
мелкого заложения
трёхпролётная","55°41′18″ с. ш. 37°29′07″ в. д.HЯ",""
"","247","«Проспект Вернадского»","7 декабря 2021","","−16","колонная
мелкого заложения
трёхпролётная","55°40′42″ с. ш. 37°30′14″ в. д.HЯ",""
"","320","«Новаторская»","7 декабря 2021","","−11","колонная
мелкого заложения
двухпролётная","55°40′12″ с. ш. 37°31′20″ в. д.HЯ",""
"","249","«Воронцовская»","7 декабря 2021","","−21","колонная
мелкого заложения
трёхпролётная","55°39′32″ с. ш. 37°32′21″ в. д.HЯ",""
"","312","«Зюзино»","7 декабря 2021","","−17,5","колонная
мелкого заложения
двухпролётная","55°39′21″ с. ш. 37°34′25″ в. д.HЯ",""
"","251","«Каховская»","11 августа 1969","","−8","колонная
мелкого заложения
трёхпролётная","55°39′11″ с. ш. 37°35′54″ в. д.HЯ",""
"","321","«Варшавская»","11 августа 1969","","−9","колонная
мелкого заложения
трёхпролётная","55°39′12″ с. ш. 37°37′10″ в. д.HЯ",""
"","252","«Каширская»","11 августа 1969","","−7","колонная
мелкого заложения
трёхпролётная","55°39′18″ с. ш. 37°38′55″ в. д.HЯ",""
"","323","«Кленовый бульвар»","1 марта 2023","","−24,3","колонная
мелкого заложения
с береговыми платформами","55°40′29″ с. ш. 37°40′56″ в. д.HЯ",""
"","253","«Нагатинский Затон»","1 марта 2023","","−27","колонная
мелкого заложения
с береговыми платформами","55°41′03″ с. ш. 37°42′12″ в. д.HЯ",""
"","254","«Печатники»","1 марта 2023","","−30","колонная
двухпролётная
мелкого заложения
с береговыми платформами","55°41′40″ с. ш. 37°43′38″ в. д.HЯ",""
"","255","«Текстильщики»","1 марта 2023","","−22","колонная
мелкого заложения
с береговыми платформами","55°42′30″ с. ш. 37°43′42″ в. д.HЯ",""
"","256","«Нижегородская»","27 марта 2020","","−21,8","колонная
мелкого заложения
пятипролётная","55°43′57″ с. ш. 37°43′42″ в. д.HЯ",""
"","230","«Авиамоторная»","27 марта 2020","","−19,4","колонная
мелкого заложения
трёхпролётная","55°45′05″ с. ш. 37°43′00″ в. д.HЯ",""
"","315","«Лефортово»","27 марта 2020","","−26","колонная
мелкого заложения
двухпролётная","55°45′53″ с. ш. 37°42′24″ в. д.HЯ",""
"","259","«Электрозаводская»","31 декабря 2020","","−20","колонная
мелкого заложения
трёхпролётная","55°46′49″ с. ш. 37°42′11″ в. д.HЯ",""
"","260","«Сокольники»","1 марта 2023","","−34","колонная
мелкого заложения
трёхпролётная","55°47′28″ с. ш. 37°40′44″ в. д.HЯ",""
"","261","«Рижская»","1 марта 2023","","−63,5","пилонная
глубокого заложения
трёхсводчатая","55°47′37″ с. ш. 37°38′09″ в. д.HЯ",""
"","322","«Марьина Роща»","1 марта 2023","","−74","пилонная
глубокого заложения
трёхсводчатая","55°47′54″ с. ш. 37°37′02″ в. д.HЯ",""
"","215","«Битцевский парк»","27 февраля 2014","","−10","односводчатая
мелкого заложения","55°36′01″ с. ш. 37°33′22″ в. д.HЯ",""
"","216","«Лесопарковая»","27 февраля 2014","","−10","односводчатая
мелкого заложения","55°34′56″ с. ш. 37°34′37″ в. д.HЯ",""
"","182","«Улица Старокачаловская»","27 декабря 2003","","−10","однопролётная
мелкого заложения,
два зала","55°34′08″ с. ш. 37°34′36″ в. д.HЯ",""
"","183","«Улица Скобелевская»","27 декабря 2003","","+9,6","эстакадная
открытая","55°32′53″ с. ш. 37°33′17″ в. д.HЯ",""
"","184","«Бульвар Адмирала Ушакова»","27 декабря 2003","","+9,6","эстакадная
открытая","55°32′44″ с. ш. 37°32′35″ в. д.HЯ",""
"","185","«Улица Горчакова»","27 декабря 2003","","+9,6","эстакадная
открытая","55°32′30″ с. ш. 37°31′51″ в. д.HЯ",""
"","186","«Бунинская аллея»","27 декабря 2003","","+9,6","эстакадная
открытая","55°32′17″ с. ш. 37°30′57″ в. д.HЯ",""
"","231","«Нижегородская»","27 марта 2020","","−21,8","колонная
мелкого заложения
пятипролётная","55°43′57″ с. ш. 37°43′42″ в. д.HЯ",""
"","232","«Стахановская»","27 марта 2020","","−19","колонная
мелкого заложения
двухпролётная","55°43′38″ с. ш. 37°45′08″ в. д.HЯ",""
"","233","«Окская»","27 марта 2020","","−21","колонная
мелкого заложения
двухпролётная","55°43′07″ с. ш. 37°46′53″ в. д.HЯ",""
"","234","«Юго-Восточная»","27 марта 2020","","−20","колонная
мелкого заложения
двухпролётная","55°42′19″ с. ш. 37°49′05″ в. д.HЯ",""
"","226","«Косино»","3 июня 2019","","−27","колонная
мелкого заложения
трёхпролётная","55°42′12″ с. ш. 37°51′04″ в. д.HЯ",""
"","227","«Улица Дмитриевского»","3 июня 2019","","−18","колонная
мелкого заложения
двухпролётная","55°42′37″ с. ш. 37°52′48″ в. д.HЯ",""
"","228","«Лухмановская»","3 июня 2019","","−15","колонная
мелкого заложения
трёхпролётная","55°42′31″ с. ш. 37°54′03″ в. д.HЯ",""
"","229","«Некрасовка»","3 июня 2019","","−16","колонная
мелкого заложения
двухпролётная","55°42′10″ с. ш. 37°55′42″ в. д.HЯ",""
"","275","«ЗИЛ»","13 сентября 2025","","","колонная
мелкого заложения
трёхпролётная","55°41′49″ с. ш. 37°38′42″ в. д.HЯ",""
"","274","«Крымская»","13 сентября 2025","","","колонная
мелкого заложения
трёхпролётная","55°41′23″ с. ш. 37°36′32″ в. д.HЯ",""
"","273","«Академическая»","13 сентября 2025","","","колонная
мелкого заложения
трёхпролётная","55°41′13″ с. ш. 37°34′32″ в. д.HЯ",""
"","272","«Вавиловская»","13 сентября 2025","","","колонная
мелкого заложения
двухпролётная","55°41′06″ с. ш. 37°32′28″ в. д.HЯ",""
"","330","«Новаторская»","7 сентября 2024","","-17,6","колонная
мелкого заложения
трёхпролётная","55°40′19″ с. ш. 37°31′18″ в. д.HЯ",""
"","331","«Университет дружбы народов»","7 сентября 2024","","-23","колонная
мелкого заложения
трёхпролётная","55°38′53″ с. ш. 37°30′26″ в. д.HЯ",""
"","332","«Генерала Тюленева»","7 сентября 2024","","-20","колонная
мелкого заложения
трёхпролётная","55°37′34″ с. ш. 37°29′10″ в. д.HЯ",""
"","333","«Тютчевская»","7 сентября 2024","","-12,65","колонная
мелкого заложения
трёхпролётная","55°37′08″ с. ш. 37°28′52″ в. д.HЯ",""
"","335","«Корниловская»","28 декабря 2024","","-16,18","колонная
мелкого заложения
трёхпролётная","55°35′56″ с. ш. 37°28′45″ в. д.HЯ",""
"","334","«Коммунарка»","28 декабря 2024","","-15","колонная
мелкого заложения
двухпролётная","55°34′29″ с. ш. 37°28′05″ в. д.HЯ",""
"","336","«Новомосковская»","28 декабря 2024","","-8","односводчатая
мелкого заложения","55°33′38″ с. ш. 37°27′55″ в. д.HЯ",""
